"filename", "language", "JavaScript", "Log", "JSON with Comments", "JSON", "Ignore", "TypeScript", "Vue", "HTML", "SCSS", "XML", "Markdown", "comment", "blank", "total"
"d:\WebDev\portfolio-project\src\assets\scss\global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 8
"d:\WebDev\portfolio-project\src\assets\scss\home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1013, 0, 0, 95, 143, 1251
"d:\WebDev\portfolio-project\src\components\About.vue", "Vue", 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 13, 8, 181
"d:\WebDev\portfolio-project\src\components\Background.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\WebDev\portfolio-project\src\components\Header.vue", "Vue", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 1, 16
"d:\WebDev\portfolio-project\src\components\NotFound.vue", "Vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\WebDev\portfolio-project\src\components\Welcome.vue", "Vue", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 4, 32
"d:\WebDev\portfolio-project\src\components\admin\Admin.vue", "Vue", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 2, 3, 108
"d:\WebDev\portfolio-project\src\components\admin\LoggedIn.vue", "Vue", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 13, 4, 247
"d:\WebDev\portfolio-project\src\components\admin\Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 6, 3, 163
"d:\WebDev\portfolio-project\src\components\admin\Profile.vue", "Vue", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 8, 94
